id,user,date,timestamp,commentText,likes,hasReplies,numberOfReplies
z23jfzzjtv2jevcot04t1aokggh0w4orseiinbpff4a0bk0h00410,BuLLy jdi,6 years ago,1317153589971,"Olha ali um Japonês Negro =}...eu nunca tinha visto, japones eh tudo igual =b",0,false,0
z23yz3gbcsezjjdih04t1aokglwirnpfr104kcwx1me1rk0h00410,Lucas H Maia,6 years ago,1317153589974,se ferro,0,false,0
z22dszphlnvecvuekacdp432d12vd4skgq2klmq23exw03c010c,Guilherme Spricigo,6 years ago,1317153589978,"@brunolacerda87 entao convenhamos, o cruzeiro que se fod... ehauiehiuaheiuaheuih xD",0,false,0
z224j3nwuyuacvurc04t1aokgsez2vahrj0ujzu32gyjrk0h00410,MinistryOfSoundBR,6 years ago,1317153589982,5:23 Jesus!!!,0,false,0
z224j3nwuyuacvurc04t1aokghdmymkprb4cscilxw4wbk0h00410,MinistryOfSoundBR,6 years ago,1317153589985,"Ah mai intaum vai si fudê caráááiiii
\/
\/
\/",0,false,0
z22sdfbasne3zhd2zacdp435lcjnjfrq3vfke545yrtw03c010c,FELINTO FRANÇA KIBERON,6 years ago,1317153589988,"KIBERON ESTA Dando TANTO SUCESSO QUE ACONSELHO VCS Franquia UMA COMPRAREM. E UMA ALTERNATIVA A lipo. SÓ Testar. GUGU ATE JÁ ENTREVISOTU EA GLOBO.SEJA O DIFERENCIAL NA SUA CIDADE. EM CASA DE QUEM TEM Cego UM OLHO E REI.
ENTRE NO NOSSO SITE E FALE COMIGO NO CHAT ONLINE wwwkiberoncentralcombr .--URSULA",0,false,0
z22ec54obzaezzyx404t1aokgj5gv2xvofwkv2jogfdzbk0h00410,Alisson Santos,6 years ago,1317153589992,"/watch?v=COJZ7j1vZYM


vejam galera 

/watch?v=COJZ7j1vZYM

/watch?v=COJZ7j1vZYM


O melhor
dee uym up ae :)",0,false,0
z23ew5yqtvzbu1dzz04t1aokghnex4ozfucxngdocwvqbk0h00410,José Mateus Lima,6 years ago,1317153589996,@xianyu3211 a pergunta certa seria: quem é menos pior ?,0,false,0
z22oix5ipymjulbie04t1aokgfgyhiuwwyifmvjnpsgcrk0h00410,Rodrigo de Bitencourt,6 years ago,1317153589999,"video bom tb é o SINTA O MOVIMENTO
.
.
.",0,false,0
z22oxv3ovnq0xb0a204t1aokgcvng43t0sjqi0241fn5rk0h00410,Bruno Lacerda,6 years ago,1317153590007,"@Guigaoooooooooooo Pois é, mais to falando do momento atual, não na historia, pq ai, agente tem q coloca o sao paulo, flamengo entre outros, to falando o momento atual, se tivesse o jogo cruzeiro e inter, o inter iria leva uma sacolada de 5 fora o baile, sou atleticano, mais venhamos e convenhamos, o time ta sendo comparado com o barcelona sul americano, procure em fonte confiaveis, tipo lancenet.com, esta em destaque, na historia o inter ate pode ser alguma coisa, mais no hj n quase nd.",0,false,0
z23mypox2kmbhbqnxacdp430ce2n0anfcycawi0a0llw03c010c,Alien Alienado,6 years ago,1317153590012,"Esse monte de Rabisco, não dá pra entender nada ....",0,false,0
z22dszphlnvecvuekacdp432ouatp1s1sld0wzeac1dw03c010c,Guilherme Spricigo,6 years ago,1317153590016,"@brunolacerda87 só pra constar, cruzeiro não é melhor time do Brasil e sim o Internacional... pode ir la ver no iffhs. Inter ta em 5 no mundo, Cruzeiro em 17",0,false,0
z23bc1dalomavfghq04t1aokgsvt3xfzjco3sht1fevwbk0h00410,Lucas Ferreira,6 years ago,1317153590019,"/watch?v=SeByjJ3hupk
/watch?v=4rtQrOPW6Jc

vejam esses 2 videos obrigado",0,false,0
z22oxv3ovnq0xb0a204t1aokgl4qactbnpa1radi3qp0bk0h00410,Bruno Lacerda,6 years ago,1317153590664,"@Blink182Vitor Procure se informar melhor cara, qd ele jogava no atletico ele marcou 4 gols no mesmo jogo no brasileiro, marco 3 no classico contra um time q hj é o melhor do pais, marcou 5 pela copa do brasil.",0,false,0
z23si5cr0wjpcj420acdp43aavpuwfzgk5bo3okawctw03c010c,xian yu,6 years ago,1317153590667,"Obina, Cléo, Muriqui, who is better? anyone knows?
Obina, Cléo, Muriqui, que é melhor? alguém sabe?",0,false,0
z22detzgckqovh40bacdp43bywgwobzd2vlywjsxkptw03c010c,America Brazil,6 years ago,1317153590669,"Acabei de subir vejam!
Bullying em Belém se Resolve na Faca 
/watch?v=b-kjfN3__4A
Fiquem ligados nos proximos uploads ! Inscrevam-se",0,false,0
z234glujuvebzrr0aacdp43bcf1uytiywreh0qkuc1pw03c010c,archuleta carataca,6 years ago,1317153590671,"pelo amor de deus 
se vc acha que ja viu de tudo vc  esta enganado 
é inacreditavel oque ele faz 
olhe o video favorito que esta no meu canal e fique de boca aberta",0,false,0
z23si5cr0wjpcj420acdp432gjhkuzbmuczx4bz1latw03c010c,xian yu,6 years ago,1317153590674,什么情况，才1天就20多万了？这都是什么语啊？楼主知否？,0,false,0
z222yjkiyze3gtatjacdp435vnqhaupqneaitrgkkqpw03c010c,y Sartori,6 years ago,1317153590676,"filé , é o nome do video! kkkkkk",0,false,0
z22ujliylmi0sndtxacdp432xhqiiwbxxngefue0t45w03c010c,Revoltado,6 years ago,1317153590679,Será que eles tavam enchergando bem o jogo la da arquibancada?!?,0,false,0
z22wv5y4bsatcbvav04t1aokgahxkhyqgkm4gdwwiepprk0h00410,Haohmaru,6 years ago,1317153590682,Turbina obina voolltaaa pro galo ai vai fazer muintos gols novamente!!!,0,false,0
z23qjrmoqtrxulji504t1aokg0imzhwk3p424zs5sespbk0h00410,Rhuan Henrique,6 years ago,1317153590684,"Teem mt gente falando mal ' talz , mais se tivesse laa num ia faze metade do que ele fez no jogo , fala mal , paga pau e faz melhor ¬¬' é por issu que ele ta la e vcs akii",0,false,0
z220jlnrysb5zzqczacdp430scgkerscvzcy3rn2vwpw03c010c,Mendigo TRUE,6 years ago,1317153590686,kkkk o cara como ele erra um gol daquele kkkkkkkkkk,0,false,0
z220jlnrysb5zzqczacdp43b4gi5gsl1rmekraghfxdw03c010c,Mendigo TRUE,6 years ago,1317153590688,quanda 3:52 vem o audio XD,0,false,0
z22ced3jjxfyyv0niacdp43b4f1pplc3lndpkoq5pipw03c010c,zinha kanxa,6 years ago,1317153590691,".
.
.

[~[
[",0,false,0
z22hyffrjsqpxji2kacdp433hbj0pfdk04bbmrjjfjhw03c010c,Vitor Moraes,6 years ago,1317153590694,"@gutobola09 Ta , mas o unico problema é que eu nao torço pro cruzeiro (Y)",0,false,0
z22qjfkb4zqjdz1lsacdp430hqdqqmm5r0mrlhnzpedw03c010c,Ivan Ramos,6 years ago,1317153590696,"Obina camisa 10. kkkkkkkkkkk. Não quero nem imagina os que estão vestindo 2,3,4 e a 6. Obina camisa 10 so do outro lado mundo msmo!!!! kkkkkkkkkkkk",0,false,0
z22auhbhdqbhwp0pv04t1aokgha4zja0tml5vxt44ejfrk0h00410,Matheus Sabino,6 years ago,1317153590699,Não tem nada de inacreditável nisso!!,0,false,0
z22hyffrjsqpxji2kacdp43255x5424h0n4ymhrspjpw03c010c,Vitor Moraes,6 years ago,1317153590701,"Obina nao faz gol nem aqui nem na china , literalmente . Heauheuuehueaheuh",0,false,0
z22jfb4afpibgb10nacdp43b5viw0e5shyrb44i4ygdw03c010c,Matheus Coradini,6 years ago,1317153590703,Obina !!!,0,false,0
